"","Name","Team","Number","Position","Age","Height","Weight","College","Salary"
"1","Avery Bradley","Boston Celtics",0,"PG",25,"06-Feb",180,"Texas",7730337
"2","Jae Crowder","Boston Celtics",99,"SF",25,"06-Jun",235,"Marquette",6796117
"3","John Holland","Boston Celtics",30,"SG",27,"06-May",205,"Boston University",4805869.95305164
"4","R.J. Hunter","Boston Celtics",28,"SG",22,"06-May",185,"Georgia State",1148640
"5","Jonas Jerebko","Boston Celtics",8,"PF",29,"06-Oct",221.270783847981,"Kentucky",5e+06
"6","Amir Johnson","Boston Celtics",90,"PF",29,"06-Sep",240,"Georgia State",1.2e+07
"7","Jordan Mickey","Boston Celtics",5,"PF",21,"06-Aug",235,"LSU",1170960
"8","Kelly Olynyk","Boston Celtics",41,"C",25,"7-0",238,"Gonzaga",4805869.95305164
"9","Terry Rozier","Boston Celtics",12,"PG",22,"06-Feb",190,"Louisville",1824360
"10","Marcus Smart","Boston Celtics",36,"PG",24,"06-Apr",220,"Oklahoma State",3431040
"11","Jared Sullinger","Boston Celtics",7,"C",24,"06-Sep",221.270783847981,"Ohio State",2569260
"12","Isaiah Thomas","Boston Celtics",4,"PG",27,"05-Sep",185,"Washington",6912869
"13","Evan Turner","Boston Celtics",5,"SG",27,"06-Jul",220,"Ohio State",3425510
"14","James Young","Boston Celtics",13,"SG",20,"06-Jun",215,"Kentucky",1749840
"15","Tyler Zeller","Boston Celtics",44,"C",26,"7-0",253,"North Carolina",2616975
"16","Bojan Bogdanovic","Brooklyn Nets",44,"SG",27,"06-Aug",216,"Cincinnati",3425510
"17","Markel Brown","Brooklyn Nets",22,"SG",24,"06-Mar",221.270783847981,"Oklahoma State",845059
"18","Wayne Ellington","Brooklyn Nets",21,"SG",28,"06-Apr",200,"North Carolina",1500000
"19","Rondae Hollis-Jefferson","Brooklyn Nets",24,"SG",21,"06-Jul",220,"Arizona",1335480
"20","Jarrett Jack","Brooklyn Nets",2,"PG",24,"06-Mar",200,"Georgia Tech",6300000
"21","Sergey Karasev","Brooklyn Nets",10,"SG",22,"06-Jul",208,"Kentucky",1599840
"22","Sean Kilpatrick","Brooklyn Nets",6,"SG",26,"06-Apr",219,"Cincinnati",134215
"23","Shane Larkin","Brooklyn Nets",0,"PG",23,"05-Nov",175,"Miami (FL)",1500000
"24","Brook Lopez","Brooklyn Nets",11,"C",28,"7-0",275,"Stanford",19689000
"25","Chris McCullough","Brooklyn Nets",1,"PF",21,"06-Nov",200,"Syracuse",1140240
"26","Willie Reed","Brooklyn Nets",5,"PF",26,"06-Oct",220,"Saint Louis",947276
"27","Thomas Robinson","Brooklyn Nets",41,"PF",25,"06-Oct",237,"Kansas",981348
"28","Henry Sims","Brooklyn Nets",14,"C",26,"06-Oct",248,"Georgetown",947276
"29","Donald Sloan","Brooklyn Nets",15,"PG",28,"06-Mar",221.270783847981,"Texas A&M",4805869.95305164
"30","Thaddeus Young","Brooklyn Nets",30,"PF",27,"06-Aug",221,"Georgia Tech",11235955
"31","Arron Afflalo","New York Knicks",4,"SG",30,"06-May",210,"UCLA",8e+06
"32","Lou Amundson","New York Knicks",17,"PF",24,"06-Sep",220,"UNLV",1635476
"33","Thanasis Antetokounmpo","New York Knicks",43,"SF",23,"06-Jul",205,"Kentucky",30888
"34","Carmelo Anthony","New York Knicks",7,"SF",32,"06-Aug",240,"Syracuse",22875000
"35","Jose Calderon","New York Knicks",3,"PG",34,"06-Mar",200,"Kentucky",7402812
"36","Cleanthony Early","New York Knicks",11,"SF",25,"06-Aug",210,"Wichita State",845059
"37","Langston Galloway","New York Knicks",2,"SG",24,"06-Feb",200,"Saint Joseph's",845059
"38","Jerian Grant","New York Knicks",13,"PG",23,"06-Apr",195,"Notre Dame",1572360
"39","Robin Lopez","New York Knicks",5,"C",28,"7-0",255,"Stanford",12650000
"40","Kyle O'Quinn","New York Knicks",9,"PF",26,"06-Oct",250,"Norfolk State",3750000
"41","Kristaps Porzingis","New York Knicks",6,"PF",20,"07-Mar",221.270783847981,"Syracuse",4131720
"42","Kevin Seraphin","New York Knicks",1,"C",26,"06-Oct",278,"Wichita State",2814000
"43","Lance Thomas","New York Knicks",42,"SF",28,"06-Aug",235,"Duke",1636842
"44","Sasha Vujacic","New York Knicks",18,"SG",32,"06-Jul",195,"Tennessee State",947276
"45","Derrick Williams","New York Knicks",23,"PF",25,"06-Aug",240,"Arizona",4e+06
"46","Tony Wroten","New York Knicks",5,"SG",23,"06-Jun",205,"Washington",167406
"47","Elton Brand","Philadelphia 76ers",42,"PF",37,"06-Sep",254,"Duke",4805869.95305164
"48","Isaiah Canaan","Philadelphia 76ers",0,"PG",25,"6-0",201,"Murray State",947276
"49","Robert Covington","Philadelphia 76ers",33,"SF",25,"06-Sep",215,"Tennessee State",1e+06
"50","Joel Embiid","Philadelphia 76ers",21,"C",22,"7-0",250,"Kansas",4626960
"51","Jerami Grant","Philadelphia 76ers",5,"SF",22,"06-Aug",210,"Syracuse",845059
"52","Richaun Holmes","Philadelphia 76ers",22,"PF",22,"06-Oct",245,"Bowling Green",1074169
"53","Carl Landry","Philadelphia 76ers",7,"PF",24,"06-Sep",248,"Purdue",6500000
"54","Kendall Marshall","Philadelphia 76ers",5,"PG",24,"06-Apr",200,"North Carolina",2144772
"55","T.J. McConnell","Philadelphia 76ers",12,"PG",24,"06-Feb",221.270783847981,"Arizona",525093
"56","Nerlens Noel","Philadelphia 76ers",4,"PF",22,"06-Nov",228,"Kentucky",3457800
"57","Jahlil Okafor","Philadelphia 76ers",8,"C",20,"06-Nov",275,"Duke",4582680
"58","Ish Smith","Philadelphia 76ers",1,"PG",27,"6-0",175,"Wake Forest",947276
"59","Nik Stauskas","Philadelphia 76ers",11,"SG",22,"06-Jun",205,"Michigan",2869440
"60","Hollis Thompson","Philadelphia 76ers",31,"SG",25,"06-Aug",206,"Georgetown",947276
"61","Christian Wood","Philadelphia 76ers",35,"PF",20,"06-Nov",220,"UNLV",525093
"62","Bismack Biyombo","Toronto Raptors",8,"C",23,"06-Sep",245,"Kentucky",2814000
"63","Bruno Caboclo","Toronto Raptors",20,"SF",20,"06-Sep",205,"Villanova",1524000
"64","DeMarre Carroll","Toronto Raptors",5,"SF",29,"06-Aug",212,"Missouri",4805869.95305164
"65","DeMar DeRozan","Toronto Raptors",10,"SG",26,"06-Jul",220,"USC",10050000
"66","James Johnson","Toronto Raptors",3,"PF",29,"06-Sep",250,"Wake Forest",2500000
"67","Cory Joseph","Toronto Raptors",6,"PG",24,"06-Mar",221.270783847981,"Texas",7e+06
"68","Kyle Lowry","Toronto Raptors",7,"PG",30,"6-0",205,"Villanova",1.2e+07
"69","Lucas Nogueira","Toronto Raptors",92,"C",23,"7-0",220,"USC",1842000
"70","Patrick Patterson","Toronto Raptors",54,"PF",27,"06-Sep",235,"Kentucky",6268675
"71","Norman Powell","Toronto Raptors",24,"SG",23,"06-Apr",215,"UCLA",650000
"72","Terrence Ross","Toronto Raptors",31,"SF",25,"06-Jul",195,"Washington",3553917
"73","Luis Scola","Toronto Raptors",4,"PF",36,"06-Sep",240,"Kentucky",2900000
"74","Jason Thompson","Toronto Raptors",1,"PF",29,"06-Nov",250,"Rider",245177
"75","Jonas Valanciunas","Toronto Raptors",17,"C",24,"7-0",255,"Kentucky",4660482
"76","Delon Wright","Toronto Raptors",55,"PG",24,"06-May",190,"Utah",1509360
"77","Leandro Barbosa","Golden State Warriors",19,"SG",33,"06-Mar",194,"UCLA",2500000
"78","Harrison Barnes","Golden State Warriors",40,"SF",24,"06-Aug",225,"North Carolina",3873398
"79","Andrew Bogut","Golden State Warriors",12,"C",31,"7-0",260,"Utah",13800000
"80","Ian Clark","Golden State Warriors",21,"SG",25,"06-Mar",175,"Belmont",947276
"81","Stephen Curry","Golden State Warriors",30,"PG",28,"06-Mar",190,"Davidson",11370786
"82","Festus Ezeli","Golden State Warriors",31,"C",26,"06-Nov",221.270783847981,"Vanderbilt",2008748
"83","Draymond Green","Golden State Warriors",23,"PF",26,"06-Jul",230,"Michigan State",14260870
"84","Andre Iguodala","Golden State Warriors",9,"SF",32,"06-Jun",215,"Arizona",11710456
"85","Shaun Livingston","Golden State Warriors",5,"PG",30,"06-Jul",192,"Oklahoma",5543725
"86","Kevon Looney","Golden State Warriors",36,"SF",20,"06-Sep",220,"UCLA",1131960
"87","James Michael McAdoo","Golden State Warriors",20,"SF",23,"06-Sep",240,"North Carolina",845059
"88","Brandon Rush","Golden State Warriors",4,"SF",30,"06-Jun",220,"Kansas",1270964
"89","Marreese Speights","Golden State Warriors",5,"C",28,"06-Oct",255,"Florida",3815000
"90","Klay Thompson","Golden State Warriors",11,"SG",26,"06-Jul",215,"Washington State",15501000
"91","Anderson Varejao","Golden State Warriors",18,"PF",33,"06-Nov",273,"Arizona",289755
"92","Cole Aldrich","Los Angeles Clippers",45,"C",27,"06-Nov",250,"Kansas",1100602
"93","Jeff Ayres","Los Angeles Clippers",19,"PF",29,"06-Sep",250,"Arizona State",111444
"94","Jamal Crawford","Los Angeles Clippers",11,"SG",36,"06-May",195,"Michigan",5675000
"95","Branden Dawson","Los Angeles Clippers",22,"SF",23,"06-Jun",221.270783847981,"Michigan State",525093
"96","Jeff Green","Los Angeles Clippers",8,"SF",29,"06-Sep",235,"Georgetown",9650000
"97","Blake Griffin","Los Angeles Clippers",32,"PF",27,"06-Oct",251,"Oklahoma",18907726
"98","Wesley Johnson","Los Angeles Clippers",33,"SF",28,"06-Jul",215,"Syracuse",1100602
"99","DeAndre Jordan","Los Angeles Clippers",6,"C",27,"06-Nov",265,"Texas A&M",19689000
"100","Luc Richard Mbah a Moute","Los Angeles Clippers",12,"PF",29,"06-Aug",230,"UCLA",947276
"101","Chris Paul","Los Angeles Clippers",3,"PG",31,"6-0",175,"Wake Forest",21468695
"102","Paul Pierce","Los Angeles Clippers",34,"SF",38,"06-Jul",235,"Kansas",3376000
"103","Pablo Prigioni","Los Angeles Clippers",9,"PG",39,"06-Mar",185,"Florida",947726
"104","JJ Redick","Los Angeles Clippers",4,"SG",31,"06-Apr",190,"Duke",7085000
"105","Austin Rivers","Los Angeles Clippers",25,"PG",23,"06-Apr",200,"Duke",3110796
"106","C.J. Wilcox","Los Angeles Clippers",5,"SG",25,"06-May",195,"Washington",1159680
"107","Brandon Bass","Los Angeles Lakers",2,"PF",31,"06-Aug",250,"LSU",3e+06
"108","Tarik Black","Los Angeles Lakers",28,"C",24,"06-Sep",250,"Kansas",845059
"109","Anthony Brown","Los Angeles Lakers",3,"SF",23,"06-Jul",210,"Stanford",7e+05
"110","Kobe Bryant","Los Angeles Lakers",24,"SF",37,"06-Jun",212,"Kentucky",2.5e+07
"111","Jordan Clarkson","Los Angeles Lakers",6,"PG",24,"06-May",194,"Missouri",845059
"112","Roy Hibbert","Los Angeles Lakers",17,"C",29,"07-Feb",270,"Georgetown",4805869.95305164
"113","Marcelo Huertas","Los Angeles Lakers",9,"PG",33,"06-Mar",221.270783847981,"Kentucky",525093
"114","Ryan Kelly","Los Angeles Lakers",4,"PF",25,"06-Nov",230,"Duke",1724250
"115","Larry Nance Jr.","Los Angeles Lakers",7,"PF",23,"06-Sep",230,"Wyoming",1155600
"116","Julius Randle","Los Angeles Lakers",30,"PF",21,"06-Sep",250,"Kentucky",3132240
"117","D'Angelo Russell","Los Angeles Lakers",1,"PG",20,"06-May",195,"Ohio State",5103120
"118","Robert Sacre","Los Angeles Lakers",5,"C",27,"7-0",270,"Gonzaga",981348
"119","Louis Williams","Los Angeles Lakers",23,"SG",24,"06-Jan",175,"Kentucky",7e+06
"120","Metta World Peace","Los Angeles Lakers",37,"SF",36,"06-Jul",260,"St. John's",947276
"121","Nick Young","Los Angeles Lakers",0,"SF",31,"06-Jul",210,"USC",5219169
"122","Eric Bledsoe","Phoenix Suns",2,"PG",24,"06-Jan",190,"Kentucky",13500000
"123","Devin Booker","Phoenix Suns",1,"SG",19,"06-Jun",206,"Kentucky",2127840
"124","Chase Budinger","Phoenix Suns",10,"SF",28,"06-Jul",209,"Arizona",206192
"125","Tyson Chandler","Phoenix Suns",4,"C",33,"07-Jan",240,"Missouri",1.3e+07
"126","Archie Goodwin","Phoenix Suns",5,"SG",21,"06-May",200,"Kentucky",1160160
"127","John Jenkins","Phoenix Suns",23,"SG",25,"06-Apr",221.270783847981,"Vanderbilt",981348
"128","Brandon Knight","Phoenix Suns",3,"PG",24,"06-Mar",189,"Kentucky",13500000
"129","Alex Len","Phoenix Suns",21,"C",22,"07-Jan",260,"Maryland",3807120
"130","Jon Leuer","Phoenix Suns",30,"PF",27,"06-Oct",228,"Wisconsin",1035000
"131","Phil Pressey","Phoenix Suns",25,"PG",25,"05-Nov",175,"Missouri",55722
"132","Ronnie Price","Phoenix Suns",14,"PG",32,"06-Feb",190,"Utah Valley",947276
"133","Mirza Teletovic","Phoenix Suns",35,"PF",30,"06-Sep",242,"Connecticut",5500000
"134","P.J. Tucker","Phoenix Suns",17,"SF",31,"06-Jun",245,"Texas",5500000
"135","T.J. Warren","Phoenix Suns",12,"SF",22,"06-Aug",230,"North Carolina State",2041080
"136","Alan Williams","Phoenix Suns",15,"C",23,"06-Aug",260,"UC Santa Barbara",83397
"137","Quincy Acy","Sacramento Kings",13,"SF",25,"06-Jul",240,"Baylor",981348
"138","James Anderson","Sacramento Kings",5,"SG",27,"06-Jun",213,"Oklahoma State",1015421
"139","Marco Belinelli","Sacramento Kings",5,"SG",30,"06-May",210,"Kentucky",6060606
"140","Caron Butler","Sacramento Kings",31,"SF",36,"06-Jul",228,"Connecticut",1449187
"141","Omri Casspi","Sacramento Kings",18,"SF",27,"06-Sep",225,"Marquette",2836186
"142","Willie Cauley-Stein","Sacramento Kings",0,"C",22,"7-0",240,"Kentucky",3398280
"143","Darren Collison","Sacramento Kings",7,"PG",28,"6-0",175,"UCLA",5013559
"144","DeMarcus Cousins","Sacramento Kings",15,"C",25,"06-Nov",221.270783847981,"Kentucky",15851950
"145","Seth Curry","Sacramento Kings",30,"SG",25,"06-Feb",185,"Duke",947276
"146","Duje Dukan","Sacramento Kings",5,"PF",24,"06-Sep",220,"Wisconsin",525093
"147","Rudy Gay","Sacramento Kings",8,"SF",29,"06-Aug",230,"Connecticut",12403101
"148","Kosta Koufos","Sacramento Kings",41,"C",27,"7-0",265,"Ohio State",7700000
"149","Ben McLemore","Sacramento Kings",23,"SG",23,"06-May",195,"Kansas",3156600
"150","Eric Moreland","Sacramento Kings",25,"PF",24,"06-Oct",238,"Oregon State",845059
"151","Rajon Rondo","Sacramento Kings",9,"PG",30,"06-Jan",186,"Kentucky",9500000
"152","Cameron Bairstow","Chicago Bulls",41,"PF",25,"06-Sep",250,"New Mexico",845059
"153","Aaron Brooks","Chicago Bulls",0,"PG",31,"6-0",161,"Oregon",2250000
"154","Jimmy Butler","Chicago Bulls",21,"SG",26,"06-Jul",220,"Marquette",16407500
"155","Mike Dunleavy","Chicago Bulls",34,"SG",35,"06-Sep",230,"Duke",4500000
"156","Cristiano Felicio","Chicago Bulls",6,"PF",23,"06-Oct",275,"Kentucky",4805869.95305164
"157","Pau Gasol","Chicago Bulls",16,"C",35,"7-0",250,"Kentucky",7448760
"158","Taj Gibson","Chicago Bulls",22,"PF",24,"06-Sep",221.270783847981,"USC",8500000
"159","Justin Holiday","Chicago Bulls",7,"SG",27,"06-Jun",185,"Washington",947276
"160","Doug McDermott","Chicago Bulls",3,"SF",24,"06-Aug",225,"Creighton",2380440
"161","Nikola Mirotic","Chicago Bulls",44,"PF",25,"06-Oct",220,"Marquette",5543725
"162","E'Twaun Moore","Chicago Bulls",55,"SG",27,"06-Apr",191,"Purdue",1015421
"163","Joakim Noah","Chicago Bulls",5,"C",31,"06-Nov",232,"Florida",13400000
"164","Bobby Portis","Chicago Bulls",5,"PF",24,"06-Nov",230,"Arkansas",1391160
"165","Derrick Rose","Chicago Bulls",1,"PG",27,"06-Mar",190,"Memphis",20093064
"166","Tony Snell","Chicago Bulls",20,"SF",24,"06-Jul",200,"New Mexico",1535880
"167","Matthew Dellavedova","Cleveland Cavaliers",8,"PG",25,"06-Apr",221.270783847981,"Saint Mary's",1147276
"168","Channing Frye","Cleveland Cavaliers",9,"PF",33,"06-Nov",255,"Arizona",8193029
"169","Kyrie Irving","Cleveland Cavaliers",2,"PG",24,"06-Mar",193,"Duke",16407501
"170","LeBron James","Cleveland Cavaliers",23,"SF",31,"06-Aug",250,"Creighton",22970500
"171","Richard Jefferson","Cleveland Cavaliers",24,"SF",35,"06-Jul",221.270783847981,"Arizona",947276
"172","Dahntay Jones","Cleveland Cavaliers",30,"SG",35,"06-Jun",225,"Duke",4805869.95305164
"173","James Jones","Cleveland Cavaliers",1,"SG",35,"06-Aug",218,"Miami (FL)",947276
"174","Sasha Kaun","Cleveland Cavaliers",14,"C",24,"06-Nov",260,"Kansas",1276000
"175","Kevin Love","Cleveland Cavaliers",0,"PF",27,"06-Oct",251,"UCLA",19689000
"176","Jordan McRae","Cleveland Cavaliers",5,"SG",25,"06-May",179,"Tennessee",111196
"177","Timofey Mozgov","Cleveland Cavaliers",20,"C",29,"07-Jan",275,"Georgia Tech",4950000
"178","Iman Shumpert","Cleveland Cavaliers",4,"SG",25,"06-May",220,"Georgia Tech",8988765
"179","J.R. Smith","Cleveland Cavaliers",5,"SG",30,"06-Jun",225,"UCLA",5e+06
"180","Tristan Thompson","Cleveland Cavaliers",13,"C",25,"06-Sep",238,"Texas",14260870
"181","Mo Williams","Cleveland Cavaliers",52,"PG",33,"06-Jan",198,"Alabama",2100000
"182","Joel Anthony","Detroit Pistons",50,"C",33,"06-Sep",245,"UNLV",2500000
"183","Aron Baynes","Detroit Pistons",12,"C",29,"06-Oct",260,"Washington State",6500000
"184","Steve Blake","Detroit Pistons",22,"PG",36,"06-Mar",172,"Maryland",2170465
"185","Lorenzo Brown","Detroit Pistons",17,"PG",25,"06-May",221.270783847981,"North Carolina State",111444
"186","Reggie Bullock","Detroit Pistons",5,"SF",25,"06-Jul",205,"North Carolina",1252440
"187","Kentavious Caldwell-Pope","Detroit Pistons",5,"SG",23,"06-May",205,"Georgia",2891760
"188","Spencer Dinwiddie","Detroit Pistons",8,"PG",23,"06-Jun",200,"Colorado",845059
"189","Andre Drummond","Detroit Pistons",0,"C",22,"06-Nov",279,"Connecticut",3272091
"190","Tobias Harris","Detroit Pistons",34,"SF",23,"06-Sep",235,"Tennessee",1.6e+07
"191","Darrun Hilliard","Detroit Pistons",6,"SF",23,"06-Jun",205,"Villanova",6e+05
"192","Reggie Jackson","Detroit Pistons",1,"PG",26,"06-Mar",208,"Boston College",13913044
"193","Stanley Johnson","Detroit Pistons",3,"SF",20,"06-Jul",245,"Arizona",2841960
"194","Jodie Meeks","Detroit Pistons",20,"SG",28,"06-Apr",210,"Kentucky",6270000
"195","Marcus Morris","Detroit Pistons",13,"PF",26,"06-Sep",235,"Kansas",5e+06
"196","Anthony Tolliver","Detroit Pistons",43,"PF",31,"06-Aug",240,"Creighton",3e+06
"197","Lavoy Allen","Indiana Pacers",5,"PF",27,"06-Sep",255,"Temple",4050000
"198","Rakeem Christmas","Indiana Pacers",25,"PF",24,"06-Sep",250,"Syracuse",1007026
"199","Monta Ellis","Indiana Pacers",11,"SG",30,"06-Mar",221.270783847981,"Texas",10300000
"200","Paul George","Indiana Pacers",13,"SF",26,"06-Sep",220,"Fresno State",17120106
"201","George Hill","Indiana Pacers",3,"PG",30,"06-Mar",188,"IUPUI",8e+06
"202","Jordan Hill","Indiana Pacers",5,"C",28,"06-Oct",235,"Arizona",4805869.95305164
"203","Solomon Hill","Indiana Pacers",44,"SF",24,"06-Jul",225,"Arizona",1358880
"204","Ty Lawson","Indiana Pacers",10,"PG",28,"05-Nov",195,"North Carolina",211744
"205","Ian Mahinmi","Indiana Pacers",28,"C",29,"06-Nov",250,"Eastern Washington",4e+06
"206","C.J. Miles","Indiana Pacers",0,"SF",29,"06-Jun",231,"Fresno State",4394225
"207","Glenn Robinson III","Indiana Pacers",40,"SG",22,"06-Jul",222,"Michigan",1100000
"208","Rodney Stuckey","Indiana Pacers",2,"PG",30,"06-May",205,"Eastern Washington",7e+06
"209","Myles Turner","Indiana Pacers",33,"PF",20,"06-Nov",243,"Texas",2357760
"210","Shayne Whittington","Indiana Pacers",42,"PF",25,"06-Nov",250,"Western Michigan",845059
"211","Joe Young","Indiana Pacers",1,"PG",23,"06-Feb",180,"Oregon",1007026
"212","Giannis Antetokounmpo","Milwaukee Bucks",34,"SF",21,"06-Nov",222,"North Carolina",1953960
"213","Jerryd Bayless","Milwaukee Bucks",19,"PG",27,"06-Mar",200,"Arizona",3e+06
"214","Michael Carter-Williams","Milwaukee Bucks",5,"PG",24,"06-Jun",190,"Syracuse",2399040
"215","Jared Cunningham","Milwaukee Bucks",9,"SG",25,"06-Apr",195,"Oregon State",947276
"216","Tyler Ennis","Milwaukee Bucks",11,"PG",21,"06-Mar",221.270783847981,"Syracuse",1662360
"217","John Henson","Milwaukee Bucks",31,"PF",25,"06-Nov",229,"North Carolina",2943221
"218","Damien Inglis","Milwaukee Bucks",17,"SF",21,"06-Aug",246,"Arizona",855000
"219","O.J. Mayo","Milwaukee Bucks",3,"SG",28,"06-May",210,"USC",8e+06
"220","Khris Middleton","Milwaukee Bucks",22,"SG",24,"06-Aug",234,"Texas A&M",4805869.95305164
"221","Greg Monroe","Milwaukee Bucks",15,"C",26,"06-Nov",265,"Georgetown",16407500
"222","Steve Novak","Milwaukee Bucks",6,"SF",32,"06-Oct",225,"Marquette",295327
"223","Johnny O'Bryant III","Milwaukee Bucks",77,"PF",23,"06-Sep",257,"LSU",845059
"224","Jabari Parker","Milwaukee Bucks",12,"PF",21,"06-Aug",250,"Duke",5152440
"225","Miles Plumlee","Milwaukee Bucks",18,"C",24,"06-Nov",249,"Duke",2109294
"226","Greivis Vasquez","Milwaukee Bucks",21,"PG",29,"06-Jun",217,"Maryland",6600000
"227","Rashad Vaughn","Milwaukee Bucks",20,"SG",19,"06-Jun",202,"UNLV",1733040
"228","Justin Anderson","Dallas Mavericks",5,"SG",22,"06-Jun",221.270783847981,"Virginia",1449000
"229","J.J. Barea","Dallas Mavericks",5,"PG",31,"6-0",185,"Northeastern",4290000
